1:1:0.000000,1:2:0.985459,1:4:0.957007,1:9:0.889420,1:15:0.814587,1:16:0.802742,1:18:0.779565,1:22:0.735201,1:22:0.735201,1:22:0.735201,1:22:0.735201,1:22:0.735201,1:22:0.735201,1:22:0.735201,1:22:0.735201,1:22:0.735201,1:22:0.735201,1:22:0.735201,1:23:0.724510,1:23:0.724510,1:23:0.724510,1:23:0.724510,1:23:0.724510,1:23:0.724510,1:23:0.724510,1:23:0.724510,1:23:0.724510,1:23:0.724510,1:23:0.724510,1:23:0.724510,1:23:0.724510,1:24:0.713975,1:24:0.713975,1:25:0.703592,1:25:0.703592,1:25:0.703592,1:25:0.703592,1:25:0.703592,1:25:0.703592,1:25:0.703592,1:26:0.693361,1:26:0.693361,1:26:0.693361,1:26:0.693361,1:26:0.693361,1:26:0.693361,1:26:0.693361,1:26:0.693361,1:27:0.683279,1:27:0.683279,1:28:0.673343,1:29:0.663552,1:29:0.663552,1:29:0.663552,1:30:0.653903,1:31:0.644394,1:32:0.635024,1:33:0.625789,1:34:0.616690,1:35:0.607722,1:36:0.598885,1:39:0.573137,1:40:0.564803,1:41:0.556590,1:43:0.540520,1:44:0.532660,1:45:0.524915,1:46:0.517282,1:54:0.460081,1:59:0.427589,1:61:0.415244,1:62:0.409205,1:63:0.403255,1:67:0.380306,1:69:0.369326,1:70:0.363956,1:74:0.343243,
2:1:0.000000,2:2:0.000000,2:4:0.971129,2:9:0.902545,2:15:0.826607,2:16:0.814587,2:18:0.791069,2:22:0.746050,2:22:0.746050,2:22:0.746050,2:22:0.746050,2:22:0.746050,2:22:0.746050,2:22:0.746050,2:22:0.746050,2:22:0.746050,2:22:0.746050,2:22:0.746050,2:23:0.735201,2:23:0.735201,2:23:0.735201,2:23:0.735201,2:23:0.735201,2:23:0.735201,2:23:0.735201,2:23:0.735201,2:23:0.735201,2:23:0.735201,2:23:0.735201,2:23:0.735201,2:23:0.735201,2:24:0.724510,2:24:0.724510,2:25:0.713975,2:25:0.713975,2:25:0.713975,2:25:0.713975,2:25:0.713975,2:25:0.713975,2:25:0.713975,2:26:0.703592,2:26:0.703592,2:26:0.703592,2:26:0.703592,2:26:0.703592,2:26:0.703592,2:26:0.703592,2:26:0.703592,2:27:0.693361,2:27:0.693361,2:28:0.683279,2:29:0.673343,2:29:0.673343,2:29:0.673343,2:30:0.663552,2:31:0.653903,2:32:0.644394,2:33:0.635024,2:34:0.625789,2:35:0.616690,2:36:0.607722,2:39:0.581594,2:40:0.573137,2:41:0.564803,2:43:0.548496,2:44:0.540520,2:45:0.532660,2:46:0.524915,2:54:0.466870,2:59:0.433898,2:61:0.421371,2:62:0.415244,2:63:0.409205,2:67:0.385918,2:69:0.374776,2:70:0.369326,2:74:0.348308,
4:1:0.000000,4:2:0.000000,4:4:0.000000,4:9:0.929377,4:15:0.851182,4:16:0.838804,4:18:0.814587,4:22:0.768229,4:22:0.768229,4:22:0.768229,4:22:0.768229,4:22:0.768229,4:22:0.768229,4:22:0.768229,4:22:0.768229,4:22:0.768229,4:22:0.768229,4:22:0.768229,4:23:0.757058,4:23:0.757058,4:23:0.757058,4:23:0.757058,4:23:0.757058,4:23:0.757058,4:23:0.757058,4:23:0.757058,4:23:0.757058,4:23:0.757058,4:23:0.757058,4:23:0.757058,4:23:0.757058,4:24:0.746050,4:24:0.746050,4:25:0.735201,4:25:0.735201,4:25:0.735201,4:25:0.735201,4:25:0.735201,4:25:0.735201,4:25:0.735201,4:26:0.724510,4:26:0.724510,4:26:0.724510,4:26:0.724510,4:26:0.724510,4:26:0.724510,4:26:0.724510,4:26:0.724510,4:27:0.713975,4:27:0.713975,4:28:0.703592,4:29:0.693361,4:29:0.693361,4:29:0.693361,4:30:0.683279,4:31:0.673343,4:32:0.663552,4:33:0.653903,4:34:0.644394,4:35:0.635024,4:36:0.625789,4:39:0.598885,4:40:0.590176,4:41:0.581594,4:43:0.564803,4:44:0.556590,4:45:0.548496,4:46:0.540520,4:54:0.480750,4:59:0.446798,4:61:0.433898,4:62:0.427589,4:63:0.421371,4:67:0.397391,4:69:0.385918,4:70:0.380306,4:74:0.358663,
9:1:0.000000,9:2:0.000000,9:4:0.000000,9:9:0.000000,9:15:0.915863,9:16:0.902545,9:18:0.876487,9:22:0.826607,9:22:0.826607,9:22:0.826607,9:22:0.826607,9:22:0.826607,9:22:0.826607,9:22:0.826607,9:22:0.826607,9:22:0.826607,9:22:0.826607,9:22:0.826607,9:23:0.814587,9:23:0.814587,9:23:0.814587,9:23:0.814587,9:23:0.814587,9:23:0.814587,9:23:0.814587,9:23:0.814587,9:23:0.814587,9:23:0.814587,9:23:0.814587,9:23:0.814587,9:23:0.814587,9:24:0.802742,9:24:0.802742,9:25:0.791069,9:25:0.791069,9:25:0.791069,9:25:0.791069,9:25:0.791069,9:25:0.791069,9:25:0.791069,9:26:0.779565,9:26:0.779565,9:26:0.779565,9:26:0.779565,9:26:0.779565,9:26:0.779565,9:26:0.779565,9:26:0.779565,9:27:0.768229,9:27:0.768229,9:28:0.757058,9:29:0.746050,9:29:0.746050,9:29:0.746050,9:30:0.735201,9:31:0.724510,9:32:0.713975,9:33:0.703592,9:34:0.693361,9:35:0.683279,9:36:0.673343,9:39:0.644394,9:40:0.635024,9:41:0.625789,9:43:0.607722,9:44:0.598885,9:45:0.590176,9:46:0.581594,9:54:0.517282,9:59:0.480750,9:61:0.466870,9:62:0.460081,9:63:0.453391,9:67:0.427589,9:69:0.415244,9:70:0.409205,9:74:0.385918,
15:1:0.000000,15:2:0.000000,15:4:0.000000,15:9:0.000000,15:15:0.000000,15:16:0.985459,15:18:0.957007,15:22:0.902545,15:22:0.902545,15:22:0.902545,15:22:0.902545,15:22:0.902545,15:22:0.902545,15:22:0.902545,15:22:0.902545,15:22:0.902545,15:22:0.902545,15:22:0.902545,15:23:0.889420,15:23:0.889420,15:23:0.889420,15:23:0.889420,15:23:0.889420,15:23:0.889420,15:23:0.889420,15:23:0.889420,15:23:0.889420,15:23:0.889420,15:23:0.889420,15:23:0.889420,15:23:0.889420,15:24:0.876487,15:24:0.876487,15:25:0.863742,15:25:0.863742,15:25:0.863742,15:25:0.863742,15:25:0.863742,15:25:0.863742,15:25:0.863742,15:26:0.851182,15:26:0.851182,15:26:0.851182,15:26:0.851182,15:26:0.851182,15:26:0.851182,15:26:0.851182,15:26:0.851182,15:27:0.838804,15:27:0.838804,15:28:0.826607,15:29:0.814587,15:29:0.814587,15:29:0.814587,15:30:0.802742,15:31:0.791069,15:32:0.779565,15:33:0.768229,15:34:0.757058,15:35:0.746050,15:36:0.735201,15:39:0.703592,15:40:0.693361,15:41:0.683279,15:43:0.663552,15:44:0.653903,15:45:0.644394,15:46:0.635024,15:54:0.564803,15:59:0.524915,15:61:0.509760,15:62:0.502347,15:63:0.495042,15:67:0.466870,15:69:0.453391,15:70:0.446798,15:74:0.421371,
16:1:0.000000,16:2:0.000000,16:4:0.000000,16:9:0.000000,16:15:0.000000,16:16:0.000000,16:18:0.971129,16:22:0.915863,16:22:0.915863,16:22:0.915863,16:22:0.915863,16:22:0.915863,16:22:0.915863,16:22:0.915863,16:22:0.915863,16:22:0.915863,16:22:0.915863,16:22:0.915863,16:23:0.902545,16:23:0.902545,16:23:0.902545,16:23:0.902545,16:23:0.902545,16:23:0.902545,16:23:0.902545,16:23:0.902545,16:23:0.902545,16:23:0.902545,16:23:0.902545,16:23:0.902545,16:23:0.902545,16:24:0.889420,16:24:0.889420,16:25:0.876487,16:25:0.876487,16:25:0.876487,16:25:0.876487,16:25:0.876487,16:25:0.876487,16:25:0.876487,16:26:0.863742,16:26:0.863742,16:26:0.863742,16:26:0.863742,16:26:0.863742,16:26:0.863742,16:26:0.863742,16:26:0.863742,16:27:0.851182,16:27:0.851182,16:28:0.838804,16:29:0.826607,16:29:0.826607,16:29:0.826607,16:30:0.814587,16:31:0.802742,16:32:0.791069,16:33:0.779565,16:34:0.768229,16:35:0.757058,16:36:0.746050,16:39:0.713975,16:40:0.703592,16:41:0.693361,16:43:0.673343,16:44:0.663552,16:45:0.653903,16:46:0.644394,16:54:0.573137,16:59:0.532660,16:61:0.517282,16:62:0.509760,16:63:0.502347,16:67:0.473759,16:69:0.460081,16:70:0.453391,16:74:0.427589,
18:1:0.000000,18:2:0.000000,18:4:0.000000,18:9:0.000000,18:15:0.000000,18:16:0.000000,18:18:0.000000,18:22:0.943091,18:22:0.943091,18:22:0.943091,18:22:0.943091,18:22:0.943091,18:22:0.943091,18:22:0.943091,18:22:0.943091,18:22:0.943091,18:22:0.943091,18:22:0.943091,18:23:0.929377,18:23:0.929377,18:23:0.929377,18:23:0.929377,18:23:0.929377,18:23:0.929377,18:23:0.929377,18:23:0.929377,18:23:0.929377,18:23:0.929377,18:23:0.929377,18:23:0.929377,18:23:0.929377,18:24:0.915863,18:24:0.915863,18:25:0.902545,18:25:0.902545,18:25:0.902545,18:25:0.902545,18:25:0.902545,18:25:0.902545,18:25:0.902545,18:26:0.889420,18:26:0.889420,18:26:0.889420,18:26:0.889420,18:26:0.889420,18:26:0.889420,18:26:0.889420,18:26:0.889420,18:27:0.876487,18:27:0.876487,18:28:0.863742,18:29:0.851182,18:29:0.851182,18:29:0.851182,18:30:0.838804,18:31:0.826607,18:32:0.814587,18:33:0.802742,18:34:0.791069,18:35:0.779565,18:36:0.768229,18:39:0.735201,18:40:0.724510,18:41:0.713975,18:43:0.693361,18:44:0.683279,18:45:0.673343,18:46:0.663552,18:54:0.590176,18:59:0.548496,18:61:0.532660,18:62:0.524915,18:63:0.517282,18:67:0.487844,18:69:0.473759,18:70:0.466870,18:74:0.440301,
22:1:0.000000,22:2:0.000000,22:4:0.000000,22:9:0.000000,22:15:0.000000,22:16:0.000000,22:18:0.000000,22:22:0.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:24:0.971129,22:24:0.971129,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:27:0.929377,22:27:0.929377,22:28:0.915863,22:29:0.902545,22:29:0.902545,22:29:0.902545,22:30:0.889420,22:31:0.876487,22:32:0.863742,22:33:0.851182,22:34:0.838804,22:35:0.826607,22:36:0.814587,22:39:0.779565,22:40:0.768229,22:41:0.757058,22:43:0.735201,22:44:0.724510,22:45:0.713975,22:46:0.703592,22:54:0.625789,22:59:0.581594,22:61:0.564803,22:62:0.556590,22:63:0.548496,22:67:0.517282,22:69:0.502347,22:70:0.495042,22:74:0.466870,
22:1:0.000000,22:2:0.000000,22:4:0.000000,22:9:0.000000,22:15:0.000000,22:16:0.000000,22:18:0.000000,22:22:1.000000,22:22:0.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:24:0.971129,22:24:0.971129,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:27:0.929377,22:27:0.929377,22:28:0.915863,22:29:0.902545,22:29:0.902545,22:29:0.902545,22:30:0.889420,22:31:0.876487,22:32:0.863742,22:33:0.851182,22:34:0.838804,22:35:0.826607,22:36:0.814587,22:39:0.779565,22:40:0.768229,22:41:0.757058,22:43:0.735201,22:44:0.724510,22:45:0.713975,22:46:0.703592,22:54:0.625789,22:59:0.581594,22:61:0.564803,22:62:0.556590,22:63:0.548496,22:67:0.517282,22:69:0.502347,22:70:0.495042,22:74:0.466870,
22:1:0.000000,22:2:0.000000,22:4:0.000000,22:9:0.000000,22:15:0.000000,22:16:0.000000,22:18:0.000000,22:22:1.000000,22:22:1.000000,22:22:0.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:24:0.971129,22:24:0.971129,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:27:0.929377,22:27:0.929377,22:28:0.915863,22:29:0.902545,22:29:0.902545,22:29:0.902545,22:30:0.889420,22:31:0.876487,22:32:0.863742,22:33:0.851182,22:34:0.838804,22:35:0.826607,22:36:0.814587,22:39:0.779565,22:40:0.768229,22:41:0.757058,22:43:0.735201,22:44:0.724510,22:45:0.713975,22:46:0.703592,22:54:0.625789,22:59:0.581594,22:61:0.564803,22:62:0.556590,22:63:0.548496,22:67:0.517282,22:69:0.502347,22:70:0.495042,22:74:0.466870,
22:1:0.000000,22:2:0.000000,22:4:0.000000,22:9:0.000000,22:15:0.000000,22:16:0.000000,22:18:0.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:0.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:24:0.971129,22:24:0.971129,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:27:0.929377,22:27:0.929377,22:28:0.915863,22:29:0.902545,22:29:0.902545,22:29:0.902545,22:30:0.889420,22:31:0.876487,22:32:0.863742,22:33:0.851182,22:34:0.838804,22:35:0.826607,22:36:0.814587,22:39:0.779565,22:40:0.768229,22:41:0.757058,22:43:0.735201,22:44:0.724510,22:45:0.713975,22:46:0.703592,22:54:0.625789,22:59:0.581594,22:61:0.564803,22:62:0.556590,22:63:0.548496,22:67:0.517282,22:69:0.502347,22:70:0.495042,22:74:0.466870,
22:1:0.000000,22:2:0.000000,22:4:0.000000,22:9:0.000000,22:15:0.000000,22:16:0.000000,22:18:0.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:0.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:24:0.971129,22:24:0.971129,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:27:0.929377,22:27:0.929377,22:28:0.915863,22:29:0.902545,22:29:0.902545,22:29:0.902545,22:30:0.889420,22:31:0.876487,22:32:0.863742,22:33:0.851182,22:34:0.838804,22:35:0.826607,22:36:0.814587,22:39:0.779565,22:40:0.768229,22:41:0.757058,22:43:0.735201,22:44:0.724510,22:45:0.713975,22:46:0.703592,22:54:0.625789,22:59:0.581594,22:61:0.564803,22:62:0.556590,22:63:0.548496,22:67:0.517282,22:69:0.502347,22:70:0.495042,22:74:0.466870,
22:1:0.000000,22:2:0.000000,22:4:0.000000,22:9:0.000000,22:15:0.000000,22:16:0.000000,22:18:0.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:0.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:24:0.971129,22:24:0.971129,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:27:0.929377,22:27:0.929377,22:28:0.915863,22:29:0.902545,22:29:0.902545,22:29:0.902545,22:30:0.889420,22:31:0.876487,22:32:0.863742,22:33:0.851182,22:34:0.838804,22:35:0.826607,22:36:0.814587,22:39:0.779565,22:40:0.768229,22:41:0.757058,22:43:0.735201,22:44:0.724510,22:45:0.713975,22:46:0.703592,22:54:0.625789,22:59:0.581594,22:61:0.564803,22:62:0.556590,22:63:0.548496,22:67:0.517282,22:69:0.502347,22:70:0.495042,22:74:0.466870,
22:1:0.000000,22:2:0.000000,22:4:0.000000,22:9:0.000000,22:15:0.000000,22:16:0.000000,22:18:0.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:0.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:24:0.971129,22:24:0.971129,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:27:0.929377,22:27:0.929377,22:28:0.915863,22:29:0.902545,22:29:0.902545,22:29:0.902545,22:30:0.889420,22:31:0.876487,22:32:0.863742,22:33:0.851182,22:34:0.838804,22:35:0.826607,22:36:0.814587,22:39:0.779565,22:40:0.768229,22:41:0.757058,22:43:0.735201,22:44:0.724510,22:45:0.713975,22:46:0.703592,22:54:0.625789,22:59:0.581594,22:61:0.564803,22:62:0.556590,22:63:0.548496,22:67:0.517282,22:69:0.502347,22:70:0.495042,22:74:0.466870,
22:1:0.000000,22:2:0.000000,22:4:0.000000,22:9:0.000000,22:15:0.000000,22:16:0.000000,22:18:0.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:22:0.000000,22:22:1.000000,22:22:1.000000,22:22:1.000000,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:23:0.985459,22:24:0.971129,22:24:0.971129,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:25:0.957007,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:26:0.943091,22:27:0.929377,22:27:0.929377,22:28:0.915863,22:29:0.902545,22:29:0.902545,22:29:0.902545,22:30:0.889420,22:31:0.876487,22:32:0.863742,22:33:0.851182,22:34:0.838804,22:35:0.826607,22:36:0.814587,22:39:0.779565,22:40:0.768229,22:41:0.757058,22:43:0.735201,22:44:0.724510,22:45:0.713975,22:46:0.703592,22:54:0.625789,22:59:0.581594,22:61:0.564803,22:62:0.556590,22:63:0.548496,22:67:0.517282,22:69:0.502347,22:70:0.495042,22:74:0.466870,
