2015-12-14,1,A股迎来中国式“熔断” 港股会否无奈“躺枪”？,1
2015-12-15,2,中基协：基金公司须调整业务满足熔断机制,0
2015-12-17,4,夏春：金融市场需要配套措施以降低熔断机制触发几率,0
2015-12-22,9,沪股通适用上交所熔断机制 期间可下单及撤单 ,0
2015-12-28,15,上交所:元旦将举行IPO通关指数熔断通关等测试,6
2015-12-29,16,上交所元旦举行指数熔断通关测试 A股影响,5
2015-12-31,18,A股迎“熔断时代” 基金申赎规则将调整,2
2016-01-04,22,收评：千股跌停触发熔断 暴跌三大原因,400
2016-01-04,22,调查：您认为熔断机制有助于减少市场波动吗？,282
2016-01-04,22,快讯：沪深300指数盘中跌5% 触发熔断机制,200
2016-01-04,22,十二位专家解读：熔断机制加剧市场波动,200
2016-01-04,22,股市熔断之后你需要关注的六大问题,198
2016-01-04,22,李大霄：投资者毋需对熔断机制恐慌 增持公司不必过多担心,67
2016-01-04,22,A股史上最贵测试：新年首个交易日触发2次熔断 提前结束交易 ,53
2016-01-04,22,主力在利用熔断机制血洗散户 十大博客看后市,39
2016-01-04,22,指数熔断制度1日起正式实施 中金所提醒投资者五大注意,36
2016-01-04,22,快讯：A股熔断至收市 期指全线暴跌,30
2016-01-04,22,新浪财经：未发布“股指熔断只为测试”报道,30
2016-01-05,23,证监会盘前紧急声明：将约束大股东减持 熔断机制保护投资者,200
2016-01-05,23,叶檀：熔断不合理助长恐慌 今年沪指三千是底？,182
2016-01-05,23,争议熔断机制 机构:不会重蹈“股灾”行情有望修复,181
2016-01-05,23,油价要不要赶熔断时髦 中石油:上封顶下封底才能真公平,167
2016-01-05,23,德银：A股熔断机制适得其反 加大波动率,70
2016-01-05,23,创业板公司称已接监管示意 禁减令到期难成熔断催化剂,62
2016-01-05,23,三私募详述熔断初体验 惊魂六分钟股票卖不动,42
2016-01-05,23,争议熔断：与涨停板制度互斥 熔断幅度阈值过小,41
2016-01-05,23,叶檀：恐慌不是熔断所致 但熔断不合理会助长恐慌,19
2016-01-05,23,券商建言：放宽熔断机制触发线,18
2016-01-05,23,机构紧急研判新年第一跌 大佬但斌建议取消熔断,13
2016-01-05,23,证监会：将建立减持预披露制度 熔断机制完善需时间,12
2016-01-05,23,A股新年首日熔断：机构紧急闭门开会 控制仓位成首要问题,12
2016-01-06,24,国家队疑似出手护盘 熔断机制或微调,20
2016-01-06,24,余丰慧：熔断停牌期间监管机构应该主动作为,5
2016-01-07,25,基金业集体请愿监管层改进熔断制度,398
2016-01-07,25,谁是四天四次熔断的罪魁祸首？五大原因,390
2016-01-07,25,A股熔断速度:155分钟6.66万亿财富不见 股民人均亏超10万,239
2016-01-07,25,私募大佬但斌再发声：熔断等于加速股灾形成,198
2016-01-07,25,彭博：中国证监会正在召开紧急会议研究熔断机制,197
2016-01-07,25,一个空头的独白：熔断机制的漏洞,192
2016-01-07,25,邱晓华：熔断制度实际上人为制造股灾 应暂缓,182
2016-01-08,26,李迅雷：熔断有必要暂停但不应取消 周五应全天休市,315
2016-01-08,26,四大专家评暂停熔断：非常及时 应为监管点赞,210
2016-01-08,26,今起暂停实施熔断机制 证监会称将总结经验教训,200
2016-01-08,26,熔断暂停 大管家肖钢还面临哪些难题,196
2016-01-08,26,人大教授评熔断暂停：有人会舒一口气 有人还会紧张,28
2016-01-08,26,私募操盘手熔断记忆：来不及挂单就收市了,17
2016-01-08,26,熔断后的散户众生相：看段子、求安慰、盼利好,15
2016-01-08,26,熔断机制推出前 那些被忽略的逆耳忠言,15
2016-01-09,27,熔断机制之父称中国搞错了：应扩大波幅,395
2016-01-09,27,李稻葵发声：熔断在中国为什么搞不通？ ,136
2016-01-10,28,罗杰斯：建议A股彻底取消熔断机制   ,84
2016-01-11,29,检察日报刊文:熔断几万亿 这样的“试验”谁承担得起,191
2016-01-11,29,四问熔断机制：证监会面临人才危机？是否应追责？,42
2016-01-11,29,熔断下基金惊魂：挂跌停价也卖不出 ,3
2016-01-12,30,李康：推熔断机制需要考虑四大因素,13
2016-01-13,31,宝能熔断市场焦土 130亿浮盈蒸发后万宝之争的姚氏路,6
2016-01-14,32,南京房价涨幅疑遭熔断：单次上市面积应超3万平,11
2016-01-15,33,股市熔断激生投资避险需求 万柳书院成资产配置佳选,0
2016-01-16,34,胡俞越：熔断绝不会是2016最后一只黑天鹅,6
2016-01-17,35,分析：熔断机制不是大盘暴跌的主因吗？,2
2016-01-18,36,熔断之下难有完卵 2016首周超九成私募收益告负,0
2016-01-21,39,方星海达沃斯论坛发言汇总：熔断不适合中国,47
2016-01-22,40,方星海称熔断不适合A股 减少干预或显市场化治市自信,0
2016-01-23,41,苏州固锝电子股份有限公司关于参股公司苏州晶讯两类熔断器产品获得航天五院供货认可的公告,0
2016-01-25,43,基金如何补上熔断的窟窿,0
2016-01-26,44,宝盈基金专户连环爆仓始末：杠杆打新 重仓股票 死于熔断,5
2016-01-27,45,触发“熔断” 今年首次油价调整料搁浅,1
2016-01-28,46,今年油价首次搁浅 国内成品油进入熔断时代,1
2016-02-05,54,美国股市是如何实行熔断机制的,3
2016-02-10,59,一名客户经理的熔断时间：全部家当近半被套,52
2016-02-12,61,韩国KOSDAQ创业板大跌8.2%触发熔断,160
2016-02-13,62,纽交所提议调整熔断机制的触发方式 延长停牌时间,0
2016-02-14,63,韩国股市熔断休市A股受惊 开年买啥,9
2016-02-18,67,首度熔断后建言客户赎回 “最有良心”基金经理被处罚,140
2016-02-20,69,別了熔断先生！ 进入刘士余年代的A股会怎么样？,1
2016-02-21,70,从钢铁侠变成白头翁 你们会怀念“熔断先生”肖钢,122
2016-02-25,74,证监会回复：未获取关于熔断的4861条具体反馈意见和建议,1
