date,position_x,position_y,weight,name
2015-12-14,1,6.800000,5,A股迎来中国式“熔断” 港股会否无奈“躺枪”？
2015-12-15,2,0.800000,4,中基协：基金公司须调整业务满足熔断机制
2015-12-17,4,7.400000,4,夏春：金融市场需要配套措施以降低熔断机制触发几率
2015-12-22,9,0.100000,4,沪股通适用上交所熔断机制 期间可下单及撤单
2015-12-28,15,5.800000,5,上交所:元旦将举行IPO通关指数熔断通关等测试
2015-12-29,16,7.000000,5,上交所元旦举行指数熔断通关测试 A股影响
2015-12-31,18,1.400000,5,A股迎“熔断时代” 基金申赎规则将调整
2016-01-04,22,3.900000,9,收评：千股跌停触发熔断 暴跌三大原因
2016-01-04,22,8.000000,8,调查：您认为熔断机制有助于减少市场波动吗？
2016-01-04,22,5.100000,11,快讯：沪深300指数盘中跌5% 触发熔断机制
2016-01-04,22,2.900000,6,十二位专家解读：熔断机制加剧市场波动
2016-01-04,22,3.700000,7,股市熔断之后你需要关注的六大问题
2016-01-04,22,0.200000,5,李大霄：投资者毋需对熔断机制恐慌 增持公司不必过多担心
2016-01-04,22,1.200000,5,A股史上最贵测试：新年首个交易日触发2次熔断 提前结束交易
2016-01-04,22,1.000000,4,主力在利用熔断机制血洗散户 十大博客看后市
2016-01-04,22,9.800000,4,指数熔断制度1日起正式实施 中金所提醒投资者五大注意
2016-01-04,22,8.800000,9,快讯：A股熔断至收市 期指全线暴跌
2016-01-04,22,3.300000,5,新浪财经：未发布“股指熔断只为测试”报道
2016-01-05,23,5.300000,7,证监会盘前紧急声明：将约束大股东减持 熔断机制保护投资者
2016-01-05,23,5.400000,6,叶檀：熔断不合理助长恐慌 今年沪指三千是底？
2016-01-05,23,0.800000,6,争议熔断机制 机构:不会重蹈“股灾”行情有望修复
2016-01-05,23,9.500000,7,油价要不要赶熔断时髦 中石油:上封顶下封底才能真公平
2016-01-05,23,9.300000,5,德银：A股熔断机制适得其反 加大波动率
2016-01-05,23,6.900000,5,创业板公司称已接监管示意 禁减令到期难成熔断催化剂
2016-01-05,23,10.000000,5,三私募详述熔断初体验 惊魂六分钟股票卖不动
2016-01-05,23,1.500000,5,争议熔断：与涨停板制度互斥 熔断幅度阈值过小
2016-01-05,23,3.300000,4,叶檀：恐慌不是熔断所致 但熔断不合理会助长恐慌
2016-01-05,23,2.600000,5,券商建言：放宽熔断机制触发线
2016-01-05,23,4.500000,4,机构紧急研判新年第一跌 大佬但斌建议取消熔断
2016-01-05,23,8.500000,5,证监会：将建立减持预披露制度 熔断机制完善需时间
2016-01-05,23,6.300000,4,A股新年首日熔断：机构紧急闭门开会 控制仓位成首要问题
2016-01-06,24,0.300000,4,国家队疑似出手护盘 熔断机制或微调
2016-01-06,24,3.800000,4,余丰慧：熔断停牌期间监管机构应该主动作为
2016-01-07,25,1.900000,9,基金业集体请愿监管层改进熔断制度
2016-01-07,25,5.100000,9,谁是四天四次熔断的罪魁祸首？五大原因
2016-01-07,25,2.300000,7,A股熔断速度:155分钟6.66万亿财富不见 股民人均亏超10万
2016-01-07,25,5.900000,6,私募大佬但斌再发声：熔断等于加速股灾形成
2016-01-07,25,2.400000,7,彭博：中国证监会正在召开紧急会议研究熔断机制
2016-01-07,25,0.600000,6,一个空头的独白：熔断机制的漏洞
2016-01-07,25,6.200000,7,邱晓华：熔断制度实际上人为制造股灾 应暂缓
2016-01-08,26,3.100000,8,李迅雷：熔断有必要暂停但不应取消 周五应全天休市
2016-01-08,26,7.700000,7,四大专家评暂停熔断：非常及时 应为监管点赞
2016-01-08,26,1.900000,7,今起暂停实施熔断机制 证监会称将总结经验教训
2016-01-08,26,8.100000,7,熔断暂停 大管家肖钢还面临哪些难题
2016-01-08,26,8.300000,4,人大教授评熔断暂停：有人会舒一口气 有人还会紧张
2016-01-08,26,6.200000,5,私募操盘手熔断记忆：来不及挂单就收市了
2016-01-08,26,1.600000,5,熔断后的散户众生相：看段子、求安慰、盼利好
2016-01-08,26,7.200000,4,熔断机制推出前 那些被忽略的逆耳忠言
2016-01-09,27,1.100000,9,熔断机制之父称中国搞错了：应扩大波幅
2016-01-09,27,7.300000,6,李稻葵发声：熔断在中国为什么搞不通？
2016-01-10,28,7.300000,5,罗杰斯：建议A股彻底取消熔断机制
2016-01-11,29,4.200000,6,检察日报刊文:熔断几万亿 这样的“试验”谁承担得起
2016-01-11,29,3.200000,5,四问熔断机制：证监会面临人才危机？是否应追责？
2016-01-11,29,2.600000,4,熔断下基金惊魂：挂跌停价也卖不出
2016-01-12,30,8.400000,4,李康：推熔断机制需要考虑四大因素
2016-01-13,31,5.200000,4,宝能熔断市场焦土 130亿浮盈蒸发后万宝之争的姚氏路
2016-01-14,32,8.300000,4,南京房价涨幅疑遭熔断：单次上市面积应超3万平
2016-01-15,33,7.300000,4,股市熔断激生投资避险需求 万柳书院成资产配置佳选
2016-01-16,34,8.600000,5,胡俞越：熔断绝不会是2016最后一只黑天鹅
2016-01-17,35,3.200000,4,分析：熔断机制不是大盘暴跌的主因吗？
2016-01-18,36,7.100000,4,熔断之下难有完卵 2016首周超九成私募收益告负
2016-01-21,39,8.500000,5,方星海达沃斯论坛发言汇总：熔断不适合中国
2016-01-22,40,2.700000,4,方星海称熔断不适合A股 减少干预或显市场化治市自信
2016-01-23,41,0.800000,4,苏州固锝电子股份有限公司关于参股公司苏州晶讯两类熔断器产品获得航天五院供货认可的公告
2016-01-25,43,9.700000,4,基金如何补上熔断的窟窿
2016-01-26,44,8.100000,5,宝盈基金专户连环爆仓始末：杠杆打新 重仓股票 死于熔断
2016-01-27,45,9.300000,5,触发“熔断” 今年首次油价调整料搁浅
2016-01-28,46,4.400000,4,今年油价首次搁浅 国内成品油进入熔断时代
2016-02-05,54,8.100000,4,美国股市是如何实行熔断机制的
2016-02-10,59,7.200000,5,一名客户经理的熔断时间：全部家当近半被套
2016-02-12,61,0.700000,6,韩国KOSDAQ创业板大跌8.2%触发熔断
2016-02-13,62,3.400000,4,纽交所提议调整熔断机制的触发方式 延长停牌时间
2016-02-14,63,7.900000,4,韩国股市熔断休市A股受惊 开年买啥
2016-02-18,67,1.700000,6,首度熔断后建言客户赎回 “最有良心”基金经理被处罚
2016-02-20,69,8.800000,4,別了熔断先生！ 进入刘士余年代的A股会怎么样？
2016-02-21,70,1.700000,6,从钢铁侠变成白头翁 你们会怀念“熔断先生”肖钢
2016-02-25,74,9.700000,4,证监会回复：未获取关于熔断的4861条具体反馈意见和建议
