date,happiness,good,anger,sadness,fear,evil,surprise
2015-12-13,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-14,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-15,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-16,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-17,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-18,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-19,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-20,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-21,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-22,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-23,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-24,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-25,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-26,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-27,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-28,0.111111,0.333333,0.111111,0.111111,0.111111,0.111111,0.111111
2015-12-29,0.125000,0.250000,0.125000,0.125000,0.125000,0.125000,0.125000
2015-12-30,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2015-12-31,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-01-01,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-01-02,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-01-03,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-01-04,0.040947,0.407550,0.010877,0.075496,0.035829,0.417786,0.011516
2016-01-05,0.056102,0.366142,0.008858,0.072835,0.059055,0.432087,0.004921
2016-01-06,0.026549,0.424779,0.150442,0.044248,0.044248,0.300885,0.008850
2016-01-07,0.056107,0.410105,0.023249,0.075945,0.025728,0.401736,0.007130
2016-01-08,0.077441,0.364598,0.016354,0.075998,0.050505,0.412217,0.002886
2016-01-09,0.102804,0.297730,0.018692,0.064085,0.053405,0.457944,0.005340
2016-01-10,0.217021,0.302128,0.044681,0.170213,0.019149,0.242553,0.004255
2016-01-11,0.043568,0.470954,0.014523,0.062241,0.064315,0.311203,0.033195
2016-01-12,0.029851,0.626866,0.067164,0.007463,0.007463,0.253731,0.007463
2016-01-13,0.243243,0.081081,0.027027,0.027027,0.054054,0.378378,0.189189
2016-01-14,0.052632,0.315789,0.052632,0.052632,0.052632,0.421053,0.052632
2016-01-15,0.176471,0.117647,0.058824,0.352941,0.117647,0.117647,0.058824
2016-01-16,0.090909,0.363636,0.090909,0.181818,0.090909,0.090909,0.090909
2016-01-17,0.125000,0.250000,0.125000,0.125000,0.125000,0.125000,0.125000
2016-01-18,0.214286,0.071429,0.071429,0.071429,0.071429,0.428571,0.071429
2016-01-19,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-01-20,0.125000,0.250000,0.125000,0.125000,0.125000,0.125000,0.125000
2016-01-21,0.180723,0.349398,0.012048,0.132530,0.084337,0.228916,0.012048
2016-01-22,0.083333,0.500000,0.083333,0.083333,0.083333,0.083333,0.083333
2016-01-23,0.125000,0.125000,0.125000,0.125000,0.250000,0.125000,0.125000
2016-01-24,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-01-25,0.250000,0.125000,0.125000,0.125000,0.125000,0.125000,0.125000
2016-01-26,0.111111,0.111111,0.111111,0.111111,0.222222,0.222222,0.111111
2016-01-27,0.066667,0.200000,0.066667,0.066667,0.466667,0.066667,0.066667
2016-01-28,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-01-29,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-01-30,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-01-31,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-02-01,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-02-02,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-02-03,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-02-04,0.111111,0.333333,0.111111,0.111111,0.111111,0.111111,0.111111
2016-02-05,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-02-06,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-02-07,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-02-08,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-02-09,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-02-10,0.040541,0.472973,0.013514,0.121622,0.027027,0.297297,0.027027
2016-02-11,0.061224,0.102041,0.020408,0.306122,0.081633,0.408163,0.020408
2016-02-12,0.017094,0.307692,0.017094,0.042735,0.059829,0.418803,0.136752
2016-02-13,0.125000,0.250000,0.125000,0.125000,0.125000,0.125000,0.125000
2016-02-14,0.071429,0.571429,0.071429,0.071429,0.071429,0.071429,0.071429
2016-02-15,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-02-16,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-02-17,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-02-18,0.069307,0.267327,0.079208,0.143564,0.099010,0.336634,0.004950
2016-02-19,0.047619,0.428571,0.047619,0.285714,0.047619,0.095238,0.047619
2016-02-20,0.100000,0.100000,0.100000,0.100000,0.400000,0.100000,0.100000
2016-02-21,0.250000,0.250000,0.006757,0.033784,0.250000,0.202703,0.006757
2016-02-22,0.108696,0.173913,0.021739,0.413043,0.021739,0.239130,0.021739
2016-02-23,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-02-24,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
2016-02-25,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
